ACCOUNT_NUM,OWNERSHIP_GROUP
00000207616000000,DALLAS ISD
00000207728000000,CITY OF DALLAS
00000207741000000,CITY OF DALLAS
00000207796000000,CITY OF DALLAS
00000207799000000,CITY OF DALLAS
00000207814000000,CITY OF DALLAS
00000207820000000,DALLAS HOUSING AUTHORITY
00000207838000000,CITY OF DALLAS
00000207859000000,CITY OF DALLAS
00000207883000000,CITY OF DALLAS
00000207886000000,CITY OF DALLAS
00000207997000000,CITY OF DALLAS
00000208012000000,MULTIPLE OWNERS
00000208033000000,CITY OF DALLAS
00000208075000000,CITY OF DALLAS
00000208084000000,DALLAS HOUSING AUTHORITY
00000208132000000,CITY OF DALLAS
00000209182000100,CITY OF DALLAS
00000209185000000,CITY OF DALLAS
00000209188000000,CITY OF DALLAS
00000209242000000,CITY OF DALLAS
00000209245000000,CITY OF DALLAS
00000209248000000,CITY OF DALLAS
00000211090000000,DALLAS HOUSING AUTHORITY
00000211096000000,DALLAS HOUSING AUTHORITY
00000212575000000,CITY OF DALLAS
00000213040000100,DART
00000214585000000,CITY OF DALLAS
00000214876000000,DALLAS COUNTY
00000215260000000,CITY OF DALLAS
00000215260000100,CITY OF DALLAS
00000215278000000,CITY OF DALLAS
00000215470000000,CITY OF DALLAS
00000215527000000,CITY OF DALLAS
00000215620000000,MULTIPLE OWNERS
00000215752000000,CITY OF DALLAS
00000215824000000,CITY OF DALLAS
00000215893000000,CITY OF DALLAS
00000215950000000,CITY OF DALLAS
00000216037000000,CITY OF DALLAS
00000216058000000,CITY OF DALLAS
00000216169000000,CITY OF DALLAS
00000216172000000,CITY OF DALLAS
00000216298000000,CITY OF DALLAS
00000216439000000,DALLAS HOUSING AUTHORITY
00000216505000000,CITY OF DALLAS
00000216544000000,CITY OF DALLAS
00000216613000000,CITY OF DALLAS
00000216670000000,CITY OF DALLAS
00000216718000000,CITY OF DALLAS
00000216814000000,CITY OF DALLAS
00000216859000000,CITY OF DALLAS
00000216868000000,CITY OF DALLAS
00000216983000000,CITY OF DALLAS
00000218506000000,DALLAS HOUSING AUTHORITY
00000218638000000,CITY OF DALLAS
00000218659000000,CITY OF DALLAS
00000218668000000,CITY OF DALLAS
00000218740000000,CITY OF DALLAS
00000218746000000,CITY OF DALLAS
00000218758000000,CITY OF DALLAS
00000218767000000,CITY OF DALLAS
00000218791000000,CITY OF DALLAS
00000218830000000,CITY OF DALLAS
00000218854000000,CITY OF DALLAS
00000218890000000,CITY OF DALLAS
00000219027000000,CITY OF DALLAS
00000219061000000,CITY OF DALLAS
00000219154000000,CITY OF DALLAS
00000219166000000,CITY OF DALLAS
00000219172000000,CITY OF DALLAS
00000219175000000,CITY OF DALLAS
00000219181000000,CITY OF DALLAS
00000219247000000,MULTIPLE OWNERS
00000219271000000,CITY OF DALLAS
00000219310000000,CITY OF DALLAS
00000219331000000,CITY OF DALLAS
00000219349000000,CITY OF DALLAS
00000219361000000,CITY OF DALLAS
00000219373000000,CITY OF DALLAS
00000219412000000,CITY OF DALLAS
00000219418000000,CITY OF DALLAS
00000219457000000,CITY OF DALLAS
00000219469000000,CITY OF DALLAS
00000219490000000,CITY OF DALLAS
00000219493000000,MULTIPLE OWNERS
00000219577000000,CITY OF DALLAS
00000219589000000,CITY OF DALLAS
00000219652000000,CITY OF DALLAS
00000219655000000,CITY OF DALLAS
00000219730000000,CITY OF DALLAS
00000219742000000,CITY OF DALLAS
00000219772000000,CITY OF DALLAS
00000219862000000,CITY OF DALLAS
00000219886000000,CITY OF DALLAS
00000219973000000,CITY OF DALLAS
00000220066000000,CITY OF DALLAS
00000220360000000,CITY OF DALLAS
00000220372000000,CITY OF DALLAS
00000220459000000,CITY OF DALLAS
00000220564000000,CITY OF DALLAS
00000220606000000,DALLAS HOUSING AUTHORITY
00000220627000000,MULTIPLE OWNERS
00000220729000000,CITY OF DALLAS
00000220804000000,CITY OF DALLAS
00000220822000000,CITY OF DALLAS
00000220855000000,CITY OF DALLAS
00000220966000000,CITY OF DALLAS
00000220969000000,CITY OF DALLAS
00000221248000000,CITY OF DALLAS
00000221380000000,CITY OF DALLAS
00000221389000000,CITY OF DALLAS
00000221410000000,CITY OF DALLAS
00000221413000000,CITY OF DALLAS
00000221416000000,CITY OF DALLAS
00000221425000000,CITY OF DALLAS
00000221428000000,CITY OF DALLAS
00000221437000000,CITY OF DALLAS
00000221545000000,CITY OF DALLAS
00000221653000000,CITY OF DALLAS
00000221740000000,CITY OF DALLAS
00000221743000000,CITY OF DALLAS
00000221914000000,CITY OF DALLAS
00000221917000000,CITY OF DALLAS
00000221956000000,CITY OF DALLAS
00000221959000000,CITY OF DALLAS
00000221986000000,CITY OF DALLAS
00000221995000000,CITY OF DALLAS
00000222019000000,CITY OF DALLAS
00000222079000000,CITY OF DALLAS
00000222082000000,CITY OF DALLAS
00000222113000000,CITY OF DALLAS
00000222118000000,CITY OF DALLAS
00000222133000000,CITY OF DALLAS
00000222163000000,CITY OF DALLAS
00000222211000000,CITY OF DALLAS
00000222223000000,CITY OF DALLAS
00000222292000000,CITY OF DALLAS
00000222361000000,CITY OF DALLAS
00000222364000000,CITY OF DALLAS
00000222367000000,CITY OF DALLAS
00000222388000000,CITY OF DALLAS
00000222397000000,CITY OF DALLAS
00000222415000000,CITY OF DALLAS
00000222424000000,CITY OF DALLAS
00000222475000000,CITY OF DALLAS
00000222511000000,CITY OF DALLAS
00000222514000000,CITY OF DALLAS
00000222520000000,CITY OF DALLAS
00000222523000000,CITY OF DALLAS
00000222544000000,CITY OF DALLAS
00000222550000000,CITY OF DALLAS
00000222553000000,CITY OF DALLAS
00000222565000000,CITY OF DALLAS
00000222577000000,CITY OF DALLAS
00000222580000000,CITY OF DALLAS
00000222583000000,CITY OF DALLAS
00000222589000000,CITY OF DALLAS
00000222598000000,CITY OF DALLAS
00000222610000000,CITY OF DALLAS
00000222619000000,CITY OF DALLAS
00000223078000000,CITY OF DALLAS
00000223099000000,CITY OF DALLAS
00000223102000000,CITY OF DALLAS
00000223105000000,CITY OF DALLAS
00000223139000000,CITY OF DALLAS
00000223639000000,CITY OF DALLAS
00000223747000000,CITY OF DALLAS
00000223750000000,CITY OF DALLAS
00000224272000000,CITY OF DALLAS
00000224275000000,CITY OF DALLAS
00000224341000000,CITY OF DALLAS
00000224359000000,CITY OF DALLAS
00000224590000000,DALLAS HOUSING AUTHORITY
00000224593000000,CITY OF DALLAS
00000224599000000,CITY OF DALLAS
00000224863000000,DALLAS HOUSING AUTHORITY
00000224866000000,DALLAS HOUSING AUTHORITY
